Carex_caroliniana|ALA|spm00000815	24
Carex_carsei|NZ|NCBI_AUTHOR_Gardner_322	30
Carex_caryophyllea|SPA|spm00002063	33
Carex_castanea|NFL|spm00001479	27
Carex_castroviejoi|GRC|NCBI_Vargas_3584	31
Carex_caucasica|NCS|spm00008001	26
Carex_caudata|SPA|spm00000529	12
Carex_cephaloidea|MAI|spm00000804	25
Carex_cephalophora|MRY|spm00000828	24
Carex_cercostachys|EHM|spm00005901	32
Carex_cespitosa_ssp_cespitosa|NOR|spm00003210	39
Carex_chathamica|NZ|NCBI_AUTHOR_Gardner_305	32
Carex_chordorrhiza|BRC|spm00001925	31
Carex_ciliatomarginata|CH|NCBI_Jin_2300	6
Carex_cilicica_ssp_muratica|TUR|spm00005685	27
Carex_cinerascens|CHM|spm00004514	33
Carex_cirrhosa|NZ|NCBI_AUTHOR_Gardner_318	34
Carex_clavispica|EHM|spm00005903	42
Carex_colchica|UKR|spm00002173	29
Carex_colensoi|NZ|NCBI_AUTHOR_Gardner_328	31
Carex_comans|NZ|NCBI_AUTHOR_Gardner_309	20
Carex_communis_var_communis|QUE|NCBI_Waterway_3720	14
Carex_comosa|CAL|spm00000826	32
Carex_concinna|MAN|NCBI_Kuzmina_2468	27
Carex_conferta|ETH|spm00000184	26
Carex_conjuncta|DEL|spm00000784	23
Carex_conoidea|DEL|spm00001428	34
Carex_coriophora|CHQ|spm00005694	28
Carex_corrugata|ALA|spm00000670	29
Carex_corynoidea|NZ|spm00005087	44
Carex_crawei|NFL|spm00001471	29
Carex_crawfordii|ILL|spm00002161	34
Carex_crebriflora||spm00001043	21
Carex_cretica|KRI|spm00004382	29
Carex_crinita_var_crinita|MAI|spm00000801	33
Carex_crispa||spm00004422	44
Carex_cristatella|KTY|spm00000800	35
Carex_cruciata|CHC|spm00005699	21
Carex_cruenta|CHQ|spm00005700	22
Carex_cruscorvi|FLA|spm00000822	26
Carex_cryptolepis|ILL|spm00001730	32
Carex_cumberlandensis|ARK|spm00000817	23
Carex_cumulata|ILL|spm00000871	29
Carex_curaica|KRA|spm00002337	32
Carex_curatorum||spm00002016	31
Carex_curvicollis|JAP|spm00006868	28
Carex_curvula_ssp_curvula|SPA|spm00003091	43
Carex_cusickii|BRC|spm00002004	31
Carex_cyanea|NZ|spm00005097	44
Carex_dacica|ICE|spm00003155	40
Carex_dallii|NZ|NCBI_AUTHOR_Gardner_310	21
Carex_davalliana|FIN|spm00003596	23
Carex_davyi|CAL|spm00001459	37
Carex_deasyi|EHM|spm00005198	16
Carex_debilis|OKL|spm00000863	29
Carex_decomposita|DEL|spm00000836	32
Carex_deflexa_var_deflexa|BRC|spm00002125	12
Carex_delicata|TZK|spm00003358	29
Carex_demissa_ssp_demissa|NSC|spm00001948	35
Carex_densa|ORE|spm00001669	27
Carex_densifimbriata|CH|NCBI_Liuo_2556	6
Carex_depauperata|YUG|spm00000574	22
Carex_depressa_ssp_basilaris|SPA|spm00000547	33
Carex_depressa_ssp_depressa|SPA|spm00000550	32
Carex_depressa_ssp_transsilvanica|YUG|spm00000546	35
Carex_derelicta|CZE|spm00003351	35
Carex_deweyana_var_deweyana|MAN|spm00001039	27
Carex_diandra|CAL|spm00000840	30
Carex_digitalis|NWY|NCBI_Waterway_3702	24
Carex_digitata|ITA|spm00000569	26
Carex_diluta|TCS|spm00004364	36
Carex_dimorpholepis|KOR|NCBI_Na_2916	31
Carex_dioica|SWE|spm00004523	26
Carex_dipsacea|NZS|NCBI_AUTHOR_Gardner_338	37
Carex_dispalata|JAP|NCBI_Waterway_3652	39
Carex_disperma|ASK|spm00001652	35
Carex_dissitiflora|JAP|spm00007871	18
Carex_distachya|SPA|spm00000588	37
Carex_distans|GRC|spm00000844	37
Carex_disticha|ONT|spm00005395	31
Carex_divisa|MRY|spm00002064	30
Carex_divulsa|NET|spm00004392	29
Carex_dolomitica|NZ|NCBI_AUTHOR_Gardner_282	36
Carex_doniana|CHS|spm00000047	31
